Category,Details
VIN,JF1GD79696G525003
Make,Subaru
Model,Impreza WRX
Trim,"WRX (Possibly TR or Limited, confirm interior features)"
Year,2006
Chassis Mileage,"191,776 miles"
Engine,"EJ255 (Replaced, original engine unknown but possibly EJ205)"
ECU,Denso S7 (22611AL350)
Tire Size (Front & Rear),215/45R17 XL
Tire Pressure (Front),33 PSI (230 kPa)
Tire Pressure (Rear),32 PSI (220 kPa)
Spare Tire Size,T135/70D16
Manufacture Date,May 2006
GVWR,4079 lbs (1850 kg)
Front GAWR,2200 lbs (998 kg)
Rear GAWR,2020 lbs (916 kg)
Last Oil Change,"At 194,282 miles (Valvoline sticker)"
Next Oil Change Due,"Due at ~197,000 miles (Check interval, likely every 3-5k miles)"
Maintenance Needed,"- Inspect timing belt (if not replaced with engine)
- Check turbo condition (oil leaks, shaft play)
- Replace spark plugs if not recently done
- Flush coolant if last change unknown
- Check/replace transmission & differential fluids
- Inspect suspension (bushings, struts)
- Inspect brakes (pads, rotors, fluid flush if old)
- Check clutch wear (if manual)
- Check axle boots & CV joints for wear
- Ensure proper tune for EJ255 swap
- Verify fuel pump & injectors are working well
- Inspect exhaust for leaks
- Check battery & alternator health"
